ch_name,mal_id,mal_title,img_url
搖曳露營△,34798,Yuru Camp△,https://cdn.myanimelist.net/images/anime/4/89877.jpg
Little Busters !,13655,Little Busters!,https://cdn.myanimelist.net/images/anime/6/43757.jpg
只要長得可愛，即使是變態你也喜歡嗎？,39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,https://cdn.myanimelist.net/images/anime/1430/102439.jpg
果然我的青春戀愛喜劇搞錯了。續,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,https://cdn.myanimelist.net/images/anime/11/75376.jpg
宇宙戰艦提拉米斯 Ⅱ,37988,Uchuu Senkan Tiramisù II,https://cdn.myanimelist.net/images/anime/1665/93614.jpg
請問您今天要來點兔子嗎？,21273,Gochuumon wa Usagi desu ka?,https://cdn.myanimelist.net/images/anime/6/79600.jpg
輝夜姬想讓人告白～天才們的戀愛頭腦戰～ 第二季,40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/anime/1764/106659.jpg
請問您今天要來點兔子嗎？？,29787,Gochuumon wa Usagi desu ka??,https://cdn.myanimelist.net/images/anime/8/76702.jpg
果然我的青春戀愛喜劇搞錯了。,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://cdn.myanimelist.net/images/anime/1786/120117.jpg
在下坂本，有何貴幹？,32542,Sakamoto desu ga?,https://cdn.myanimelist.net/images/anime/4/79468.jpg
學園孤島,24765,Gakkougurashi!,https://cdn.myanimelist.net/images/anime/1798/91548.jpg
請問您今天要來點兔子嗎？BLOOM,38337,Gochuumon wa Usagi desu ka? Bloom,https://cdn.myanimelist.net/images/anime/1900/109179.jpg
Fate/stay night [Heaven's Feel] I. 預示之花,25537,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,https://cdn.myanimelist.net/images/anime/1274/102213.jpg
Fate/stay night [Heaven's Feel] Ⅲ.春櫻之歌,33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,https://cdn.myanimelist.net/images/anime/1142/112957.jpg
Fate/stay night [Heaven's Feel] II.迷途之蝶,33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://cdn.myanimelist.net/images/anime/1974/98158.jpg
煙草,37302,Kemurikusa (TV),https://cdn.myanimelist.net/images/anime/1254/100472.jpg
怕痛的我，把防禦力點滿就對了,38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,https://cdn.myanimelist.net/images/anime/1579/113812.jpg
